CODIGOESTACION,DENOMINACION,OBSERVACIONES,X,Y
37,SANTO DOMINGO,210,440051,4474969
39,SAN BERNARDO,212,440261,4475933
294,LAS SUERTES,LAS SUERTES Linea 1,449206,4468453
295,VALDECARROS,VALDECARROS Linea 1,449744,4468099
8,IGLESIA,108,440825,4476473
11,GRAN VIA,111,440572,4474820
262,BAMBU,BAMBU Linea 1,442778,4481108
127,PRINCIPE PIO,2,439002,4474950
198,PRINCIPE PIO,2,439002,4474946
238,PRINCIPE PIO,2,439002,4474942
191,CUZCO,,441619,4479076
192,SANTIAGO BERNABEU,1006,441569,4478317
205,PUERTA DEL SUR,1021,431138,4466601
204,JOAQUIN VILUMBRALES,1020,431560,4467108
207,ABRANTES,1102,438322,4470489
21,PORTAZGO,121,444208,4471756
133,SAN BLAS,702,447903,4475651
134,SIMANCAS,703,447033,4475657
263,PINAR DE CHAMARTIN,PINAR DE CHAMARTIN Linea 1,443592,4481471
266,PINAR DE CHAMARTIN,PINAR DE CHAMARTIN Linea 4,443595,4481471
89,OPERA,1,439930,4474612
237,OPERA,1,439936,4474612
206,PLAZA ELIPTICA,605,439145,4470901
118,AVENIDA DE AMERICA,411,442727,4476804
141,AVENIDA DE AMERICA,411,442732,4476804
170,AVENIDA DE AMERICA,411,442737,4476804
29,MANUEL BECERRA,202,443340,4475675
6,CUATRO CAMINOS,106,440412,4477814
42,CUATRO CAMINOS,106,440416,4477814
202,COLONIA JARDIN,1016,434373,4472315
212,PARQUE OESTE,1204,427977,4466703
213,UNIVERSIDAD REY JUAN CARLOS,1205,426025,4465526
215,PRADILLO,1207,426630,4464028
216,HOSPITAL DE MOSTOLES,1208,425790,4463464
224,CONSERVATORIO,1218,436724,4460780
218,LORANCA,Con Calle de la Pintura,428915,4461245
219,HOSPITAL DE FUENLABRADA,1212,430711,4460001
220,PARQUE EUROPA,1213,431569,4459929
41,CANAL,214,440374,4476864
40,QUEVEDO,213,440369,4476288
223,ARROYO CULEBRO,1217,435780,4460288
225,ALONSO DE MENDOZA,1219,437507,4461613
229,LOS ESPARTALES,1223,439095,4464199
23,ALTO DEL ARENAL,123,445348,4471427
232,JULIAN BESTEIRO,1226,436177,4465391
44,DELICIAS,302,441200,4472583
236,SAN NICASIO,1230,434207,4465565
24,MIGUEL HERNANDEZ,124,445831,4471151
254,SAN FRANCISCO,SAN FRANCISCO Linea 11,437365,4469694
257,AVIACION ESPAÑOLA,AVIACION ESPAÑOLA Linea 10,433570,4470841
258,PINAR DEL REY,PINAR DEL REY Linea 8,445119,4480112
260,LA ELIPA,LA ELIPA Linea 2,444928,4475520
286,ESTADIO OLIMPICO,ESTADIO OLIMPICO Linea 7,449206,4476242
184,RIVAS VACIAMADRID,926,455885,4464542
22,BUENOS AIRES,122,444612,4471631
178,PAVONES,918,446214,4472613
273,VILLAVERDE ALTO,VILLAVERDE ALTO Linea 3,439638,4466082
28,VENTAS,201,443817,4476002
217,MANUELA MALASAÑA,"PAU-4 FR-349 Infraestruct
Mostoles (Madrid)",426690,4462623
1,PLAZA DE CASTILLA,101,441684,4480016
164,PLAZA DE CASTILLA,101,441688,4480016
271,VILLAVERDE BAJO CRUCE,VILLAVERDE BAJO CRUCE Linea 3,441289,4467142
189,CHAMARTIN,,442247,4480589
188,BEGOÑA,,441978,4481514
280,MARQUES DE LA VALDAVIA,MARQUES DE LA VALDAVIA Linea 10,446134,4488211
282,BAUNATAL,BAUNATAL Linea 10,446336,4489697
326,MIRASIERRA,,439402,4482720
174,SAINZ DE BARANDA,612,443307,4474246
114,SAINZ DE BARANDA,612,443307,4474250
136,ASCAO,705,445734,4475912
93,PIRAMIDES,520,439744,4472894
235,LEGANES CENTRAL,1229,434568,4464765
211,ALCORCON CENTRAL,1203,429473,4467154
228,EL CASAR,1222,439799,4463572
61,GOYA,203,442693,4475336
172,PRINCIPE DE VERGARA,204,442405,4475268
194,GREGORIO MARAÑON,711,441481,4476758
259,ARGANZUELA-PLANETARIO,ARGANZUELA-PLANETARIO Linea 6,441666,4471824
255,CARABANCHEL ALTO,CARABANCHEL ALTO Linea 11,436276,4469526
324,AVENIDA DE GUADALAJARA,,448187,4475028
325,LAS ROSAS,,448931,4475173
256,LA PESETA,LA PESETA Linea 11,435845,4468666
130,LUCERO,628,436865,4473195
152,LACOMA,721,438829,4482050
151,AVDA. DE LA ILUSTRACION,720,439218,4481501
148,VALDEZARZA,717,439410,4479804
156,COLOMBIA,802,442722,4478836
82,DIEGO DE LEON,410,442919,4476172
53,MONCLOA,311,439089,4476498
265,MANOTERAS,MANOTERAS Linea 4,443920,4481106
27,CONGOSTO,127,447573,4469481
160,BARAJAS,807,450732,4480936
112,PACIFICO,118,442928,4472810
234,HOSPITAL SEVERO OCHOA,1228,434864,4463962
209,PUERTA DEL SUR,1021,431106,4466622
283,REYES CATOLICOS,REYES CATOLICOS Linea 10,447326,4489241
281,MANUEL DE FALLA,MANUEL DE FALLA Linea 10,445338,4489267
278,LA GRANJA,LA GRANJA Linea 10,444327,4486734
284,HOSPITAL INFANTA SOFIA,HOSPITAL DEL NORTE Linea 10,448344,4490276
119,REPUBLICA ARGENTINA,617,442098,4477448
155,NUEVOS MINISTERIOS,618,441392,4477760
261,CHAMARTIN,"Complejo Ferroviario
CHAMARTIN Linea 1",442247,4480581
180,VICALVARO,920,448445,4473008
288,COSLADA CENTRAL,"COSLADA CENTRAL Linea 7
Con Trva de León Felipe",452504,4475148
138,BARRIO DE LA CONCEPCION,707,444813,4476906
14,ANTON MARTIN,114,440772,4473981
143,ALONSO CANO,712,440805,4476857
147,FRANCOS RODRIGUEZ,716,439707,4478875
149,ANTONIO MACHADO,718,439269,4480404
186,ARGANDA DEL REY,928,462079,4461766
162,BARRIO DEL PILAR,902,440507,4481134
203,CUATRO VIENTOS,1019,432919,4470188
168,CONCHA ESPINA,908,442671,4478293
163,VENTILLA,903,441118,4480302
165,DUQUE DE PASTRANA,905,442533,4480090
157,MAR DE CRISTAL,418,445997,4480260
54,ARGÜELLES,310,439381,4476005
296,HOSPITAL DEL HENARES,"HOSPITAL DEL HENARES Linea 7
El raso. Coslada (MADRID)",454761,4474454
126,ARGÜELLES,310,439381,4475997
49,CALLAO,307,440245,4474836
139,PARQUE DE LAS AVENIDAS,708,443883,4476952
86,CHUECA,513,440930,4475141
196,TRIBUNAL,110,440554,4475484
289,LA RAMBLA,LA RAMBLA Linea 7,453630,4475298
287,BARRIO DEL PUERTO,BARRIO DEL PUERTO Linea 7,451824,4475015
290,SAN FERNANDO,SAN FERNANDO Linea 7,454691,4475210
292,HENARES,HENARES Linea 7,455385,4474468
169,CRUZ DEL RAYO,909,442594,4477497
17,MENENDEZ PELAYO,117,442325,4473079
270,CIUDAD DE LOS ANGELES,CIUDAD DE LOS ANGELES Linea 3,441213,4468107
272,SAN CRISTOBAL,SAN CRISTOBAL Linea 3,441235,4466104
55,SAN BERNARDO,212,440252,4475894
56,BILBAO,109,440636,4475801
85,ALONSO MARTINEZ,404,441155,4475734
46,EMBAJADORES,Con gta de Embajadores,440485,4473168
125,MONCLOA,311,439089,4476492
100,ALUCHE,527,435534,4471045
92,ACACIAS,519,440147,4473032
110,LEGAZPI,Con Calle del Vado de Santa Catalina,441120,4471613
43,LEGAZPI,301,441114,4471612
111,MENDEZ ALVARO,609,442559,4472070
96,OPORTO,523,438039,4471339
106,OPORTO,523,438044,4471339
59,SERRANO,406,441864,4475412
63,DIEGO DE LEON,410,442862,4476430
275,MONTECARMELO,MONTECARMELO Linea 10,441160,4484278
66,ALFONSO XIII,413,443471,4477932
67,AVENIDA DE LA PAZ,414,444046,4478515
69,ESPERANZA,416,445354,4479161
71,MAR DE CRISTAL,418,445997,4480264
72,SAN LORENZO,419,445895,4480825
74,CANILLEJAS,501,448539,4478026
75,TORRE ARIAS,502,447785,4477401
76,SUANZES,503,446948,4477085
79,QUINTANA,506,445202,4476291
80,EL CARMEN,507,444334,4476110
83,NUÑEZ DE BALBOA,510,442214,4476225
84,RUBEN DARIO,511,441624,4476271
9,BILBAO,109,440548,4475824
94,MARQUES DE VADILLO,521,439351,4472315
95,URGEL,522,438698,4471876
97,VISTA ALEGRE,524,437318,4471387
